id,pop,lat,long
Garthia_gaudichaudii_CaletaPlayaBrava_SVN_1243_D691,gaudichaudii_brava,-28.5025,-71.261
Garthia_gaudichaudii_CaletaPlayaBrava_SVN_1244_D692,gaudichaudii_brava,-28.50251,-71.262
Garthia_gaudichaudii_CaletaPlayaBrava_SVN_1245_D693,gaudichaudii_brava,-28.50252,-71.263
Garthia_gaudichaudii_CaletaPlayaBrava_SVN_1246_D694,gaudichaudii_brava,-28.50253,-71.264
Garthia_gaudichaudii_CarrizalBajo_SVN_1240_D688,gaudichaudii_carrizal,-28.08091,-71.15051
Garthia_gaudichaudii_CarrizalBajo_SVN_1241_D689,gaudichaudii_carrizal,-28.08092,-71.15052
Garthia_gaudichaudii_CarrizalBajo_SVN_1242_D690,gaudichaudii_carrizal,-28.08093,-71.15053
Garthia_gaudichaudii_IslaDamas_SVN_1224_D1535,gaudichaudii_choros,-29.2298,-71.5303
Garthia_gaudichaudii_NorthOfPaposo_SVN_1225_D674,gaudichaudii_paposo,-24.74331,-70.55921
Garthia_gaudichaudii_NorthOfPaposo_SVN_1226_D675,gaudichaudii_paposo,-24.74332,-70.55922
Garthia_gaudichaudii_NorthOfPaposo_SVN_1227_D676,gaudichaudii_paposo,-24.74333,-70.55923
Garthia_gaudichaudii_PanDeAzucar_SVN_1235_D683,gaudichaudii_punta,-26.26341,-70.6461
Garthia_gaudichaudii_PanDeAzucar_SVN_1236_D684,gaudichaudii_punta,-26.26342,-70.6462
Garthia_gaudichaudii_Panul_SVN_1251_D699,gaudichaudii_panul,-30.00541,-71.40441
Garthia_gaudichaudii_Panul_SVN_1252_D700,gaudichaudii_panul,-30.00542,-71.40442
Garthia_gaudichaudii_Panul_SVN_1253_D701,gaudichaudii_panul,-30.00543,-71.40443
Garthia_gaudichaudii_PlayalosMolles_SVN_1262_D710,gaudichaudii_losmolles,-32.23521,-71.50351
Garthia_gaudichaudii_PlayalosMolles_SVN_1263_D711,gaudichaudii_losmolles,-32.23523,-71.50353
Garthia_gaudichaudii_PlayalosMolles_SVN_1264_D712,gaudichaudii_losmolles,-32.23525,-71.50355
Garthia_gaudichaudii_PuertoPunta_SVN_1237_D685,gaudichaudii_punta,-26.82961,-70.79021
Garthia_gaudichaudii_PuertoPunta_SVN_1238_D686,gaudichaudii_punta,-26.82962,-70.79022
Garthia_gaudichaudii_PuertoPunta_SVN_1239_D687,gaudichaudii_punta,-26.82963,-70.79023
Garthia_gaudichaudii_PuntaDeChoros_SVN_1211_D673,gaudichaudii_choros,-29.24991,-71.45911
Garthia_gaudichaudii_PuntaDeChoros_SVN_1247_D695,gaudichaudii_choros,-29.24992,-71.45912
Garthia_gaudichaudii_PuntaDeChoros_SVN_1248_D696,gaudichaudii_choros,-29.24993,-71.45913
Garthia_gaudichaudii_PuntaDeChoros_SVN_1249_D697,gaudichaudii_choros,-29.24994,-71.45914
Garthia_gaudichaudii_PuntaDeChoros_SVN_1250_D698,gaudichaudii_choros,-29.24995,-71.45912
Garthia_gaudichaudii_RNPaposo_SVN_1229_D677,gaudichaudii_paposo,-25.01541,-70.4461
Garthia_gaudichaudii_RNPaposo_SVN_1230_D678,gaudichaudii_paposo,-25.01542,-70.4462
Garthia_gaudichaudii_RNPaposo_SVN_1231_D679,gaudichaudii_paposo,-25.01543,-70.4463
Garthia_gaudichaudii_Taltal_SVN_1232_D680,gaudichaudii_paposo,-25.40141,-70.50861
Garthia_gaudichaudii_Taltal_SVN_1233_D681,gaudichaudii_paposo,-25.40142,-70.50862
Garthia_gaudichaudii_Taltal_SVN_1234_D682,gaudichaudii_paposo,-25.40143,-70.50863
Garthia_penai_Combarbala_SVN_1258_D706,penai_combarbala,-31.20571,-70.999971
Garthia_penai_Combarbala_SVN_1259_D707,penai_combarbala,-31.20572,-70.999972
Garthia_penai_Combarbala_SVN_1260_D708,penai_combarbala,-31.20573,-70.999973
Garthia_penai_Combarbala_SVN_1261_D709,penai_combarbala,-31.20574,-70.999974
Garthia_penai_EmbalseLaPaloma_SVN_1255_D703,penai,-30.7087,-71.0187
Garthia_penai_Illapel__D866,penai_illapel,-31.3720441,-71.0977911
Garthia_penai_Illapel__D867,penai_illapel,-31.3720442,-71.0977912
Garthia_penai_Illapel__D868,penai_illapel,-31.3720443,-71.0977913
Garthia_penai_Illapel__D869,penai_illapel,-31.3720444,-71.0977914
Garthia_penai_Illapel__D870,penai_illapel,-31.3720445,-71.0977915
Garthia_penai_MontePatria_SVN_1256_D704,penai_combarbala,-30.69901,-70.97641
Garthia_penai_MontePatria_SVN_1257_D705,penai_combarbala,-30.69902,-70.97642
Garthia_penai_Panul_SVN_1254_D702,gaudichaudii_panul,-30.0054,-71.4044
Homonota_cf_darwinii_Heucu_PACH575_D1381,homonota,-37.619851,-70.61161
Homonota_cf_darwinii_Heucu_PACH576_D1382,homonota,-37.619852,-70.61162
Homonota_cf_darwinii_Heucu_PACH577_D1325,homonota,-37.619853,-70.61163
